Temperature_C,Rainfall_mm,Season,Soil_Type,Recommended_Crop
26.9,540,Rainy,Loam,Maize
28.3,1035,Rainy,Sand,Maize
20.1,474,Rainy,Loam,Soybeans
26.4,721,Rainy,Loam,Maize
23.9,48,Dry,Loam,Millet
28.6,994,Rainy,Loam,Maize
26.2,1082,Rainy,Loam,Maize
27.4,585,Rainy,Sand,Sorghum
25.5,35,Dry,Clay,Millet
28.6,788,Rainy,Loam,Maize
25.4,630,Rainy,Sand,Sorghum
29.7,761,Rainy,Sand,Groundnuts
22.3,108,Dry,Sand,Millet
27.6,891,Rainy,Clay,Maize
27.2,908,Rainy,Loam,Maize
32.4,698,Rainy,Clay,Sorghum
24.5,597,Rainy,Clay,Maize
26.5,285,Dry,Loam,Sunflower
23.5,49,Dry,Loam,Millet
20.7,228,Dry,Loam,Millet
28.2,936,Rainy,Loam,Maize
21.3,178,Dry,Loam,Millet
24.5,176,Dry,Clay,Millet
28.6,856,Rainy,Clay,Maize
28.0,817,Rainy,Loam,Maize
26.9,958,Rainy,Loam,Maize
21.6,720,Rainy,Loam,Maize
24.6,640,Rainy,Sand,Sorghum
22.9,329,Dry,Loam,Sunflower
23.4,1042,Rainy,Sand,Maize
17.3,110,Dry,Loam,Millet
24.7,220,Dry,Sand,Millet
28.1,998,Rainy,Clay,Maize
25.0,684,Rainy,Loam,Maize
27.4,127,Dry,Loam,Millet
18.9,14,Dry,Loam,Millet
23.2,924,Rainy,Clay,Maize
26.4,973,Rainy,Clay,Maize
22.3,169,Dry,Loam,Millet
26.5,113,Dry,Sand,Millet
25.8,71,Dry,Loam,Millet
22.5,104,Dry,Sand,Millet
19.2,208,Dry,Loam,Millet
24.6,803,Rainy,Clay,Maize
25.9,204,Dry,Loam,Millet
26.7,138,Dry,Loam,Millet
22.3,140,Dry,Loam,Millet
20.9,438,Rainy,Loam,Soybeans
18.7,30,Dry,Clay,Millet
25.6,41,Dry,Sand,Millet
24.9,1125,Rainy,Loam,Maize
22.6,239,Dry,Loam,Millet
23.2,749,Rainy,Clay,Maize
23.1,715,Rainy,Loam,Maize
28.5,368,Rainy,Sand,Sorghum
25.7,179,Dry,Loam,Millet
21.6,0,Dry,Loam,Millet
24.3,86,Dry,Loam,Millet
24.9,153,Dry,Loam,Millet
30.8,740,Rainy,Clay,Maize
19.9,172,Dry,Loam,Millet
26.7,1140,Rainy,Sand,Maize
27.3,193,Dry,Clay,Millet
30.4,503,Rainy,Loam,Maize
24.1,568,Rainy,Clay,Maize
24.8,456,Rainy,Loam,Soybeans
27.9,744,Rainy,Sand,Groundnuts
21.6,546,Rainy,Sand,Sorghum
25.3,251,Dry,Sand,Millet
32.0,500,Dry,Loam,Sorghum
25.7,31,Dry,Loam,Millet
15.5,182,Dry,Loam,Millet
23.6,696,Rainy,Sand,Sorghum
21.6,133,Dry,Loam,Millet
28.3,169,Dry,Loam,Millet
25.5,541,Rainy,Sand,Sorghum
21.0,678,Rainy,Sand,Sorghum
25.8,1242,Rainy,Loam,Cassava
26.4,1046,Rainy,Sand,Maize
22.0,8,Dry,Loam,Millet
20.1,63,Dry,Sand,Millet
32.4,595,Rainy,Sand,Sorghum
27.4,42,Dry,Sand,Millet
28.8,896,Rainy,Sand,Groundnuts
25.5,790,Rainy,Clay,Maize
24.0,912,Rainy,Loam,Maize
24.6,494,Rainy,Loam,Soybeans
22.2,843,Rainy,Clay,Maize
30.7,840,Rainy,Clay,Cassava
23.5,184,Dry,Loam,Millet
29.2,176,Dry,Loam,Millet
22.4,283,Dry,Sand,Millet
27.3,1184,Rainy,Sand,Maize
26.5,494,Rainy,Sand,Sorghum
21.9,1213,Rainy,Loam,Cassava
30.9,128,Dry,Loam,Millet
22.5,325,Dry,Sand,Sorghum
22.7,576,Rainy,Loam,Maize
26.6,103,Dry,Sand,Millet
24.0,130,Dry,Loam,Millet
25.4,319,Dry,Loam,Sunflower
24.4,227,Dry,Clay,Millet
15.8,144,Dry,Clay,Millet
23.5,495,Rainy,Loam,Soybeans
20.5,110,Dry,Sand,Millet
27.7,0,Dry,Loam,Millet
24.1,92,Dry,Loam,Millet
25.0,1051,Rainy,Loam,Maize
27.6,1134,Rainy,Clay,Maize
23.4,66,Dry,Clay,Millet
23.1,179,Dry,Loam,Millet
24.7,20,Dry,Clay,Millet
24.4,177,Dry,Clay,Millet
33.6,1269,Rainy,Sand,Cassava
20.6,116,Dry,Sand,Millet
18.1,79,Dry,Loam,Millet
25.3,295,Dry,Sand,Millet
21.1,72,Dry,Loam,Millet
15.4,130,Dry,Loam,Millet
22.8,668,Rainy,Clay,Maize
23.4,776,Rainy,Loam,Maize
17.0,0,Dry,Loam,Millet
32.4,478,Rainy,Loam,Sorghum
22.7,1259,Rainy,Loam,Cassava
35.6,9,Dry,Clay,Millet
22.5,191,Dry,Loam,Millet
31.2,553,Rainy,Loam,Sorghum
25.3,994,Rainy,Sand,Groundnuts
25.7,105,Dry,Sand,Millet
25.6,456,Rainy,Clay,Soybeans
23.0,118,Dry,Sand,Millet
26.7,661,Rainy,Loam,Maize
27.4,1053,Rainy,Loam,Maize
24.6,192,Dry,Loam,Millet
24.2,150,Dry,Sand,Millet
23.8,879,Rainy,Loam,Maize
23.6,401,Dry,Sand,Sorghum
30.3,196,Dry,Sand,Millet
23.7,522,Rainy,Loam,Maize
28.8,182,Dry,Loam,Millet
27.4,364,Rainy,Sand,Sorghum
27.7,205,Dry,Loam,Millet
19.6,93,Dry,Clay,Millet
25.1,156,Dry,Sand,Millet
22.8,138,Dry,Loam,Millet
25.2,838,Rainy,Sand,Groundnuts
30.4,200,Rainy,Clay,Millet
25.3,844,Rainy,Loam,Maize
26.9,707,Rainy,Sand,Groundnuts
17.0,189,Dry,Loam,Millet
31.2,417,Rainy,Loam,Sorghum
28.6,718,Rainy,Loam,Maize
23.8,24,Dry,Loam,Millet
22.7,306,Dry,Sand,Sorghum
27.7,1233,Rainy,Sand,Cassava
28.7,203,Dry,Loam,Millet
31.2,910,Rainy,Clay,Cassava
28.5,726,Rainy,Loam,Maize
24.3,66,Dry,Loam,Millet
29.0,505,Rainy,Loam,Maize
27.1,127,Dry,Loam,Millet
29.5,988,Rainy,Clay,Maize
31.3,238,Dry,Sand,Millet
17.7,142,Dry,Sand,Millet
22.5,670,Rainy,Loam,Maize
30.0,227,Dry,Loam,Millet
21.2,28,Dry,Loam,Millet
24.1,4,Dry,Loam,Millet
21.3,187,Dry,Sand,Millet
29.5,952,Rainy,Loam,Maize
19.1,876,Rainy,Sand,Maize
24.3,200,Dry,Loam,Millet
30.8,284,Rainy,Sand,Millet
24.2,948,Rainy,Loam,Maize
21.3,1169,Rainy,Sand,Maize
27.1,1012,Rainy,Clay,Maize
24.3,1003,Rainy,Loam,Maize
29.2,858,Rainy,Sand,Groundnuts
24.9,182,Dry,Sand,Millet
23.4,763,Rainy,Sand,Groundnuts
23.4,196,Dry,Loam,Millet
29.0,535,Rainy,Sand,Sorghum
25.6,1170,Rainy,Loam,Maize
21.0,51,Dry,Loam,Millet
26.6,1011,Rainy,Sand,Groundnuts
26.0,1132,Rainy,Loam,Maize
28.6,1010,Rainy,Clay,Maize
27.7,1382,Rainy,Clay,Cassava
23.2,0,Dry,Sand,Millet
30.4,95,Dry,Loam,Millet
26.3,1127,Rainy,Clay,Maize
21.2,487,Rainy,Clay,Soybeans
21.2,601,Rainy,Loam,Maize
27.3,931,Rainy,Loam,Maize
26.8,447,Rainy,Clay,Soybeans
14.8,157,Dry,Loam,Millet
22.1,205,Dry,Loam,Millet
28.1,835,Rainy,Sand,Groundnuts
28.3,857,Rainy,Loam,Maize
26.1,65,Dry,Loam,Millet
25.5,849,Rainy,Loam,Maize
28.5,702,Rainy,Clay,Maize
26.1,118,Dry,Loam,Millet
25.6,1007,Rainy,Sand,Groundnuts
20.0,476,Rainy,Sand,Sorghum
21.6,217,Rainy,Loam,Millet
21.3,240,Dry,Clay,Millet
22.9,174,Dry,Clay,Millet
29.3,1132,Rainy,Sand,Maize
23.7,312,Dry,Loam,Sunflower
26.3,591,Rainy,Loam,Maize
21.6,0,Dry,Loam,Millet
20.4,107,Dry,Loam,Millet
27.2,356,Dry,Clay,Sorghum
21.9,898,Rainy,Loam,Maize
19.8,207,Dry,Sand,Millet
25.6,342,Rainy,Sand,Sorghum
27.7,77,Dry,Loam,Millet
21.9,22,Dry,Loam,Millet
24.0,907,Rainy,Sand,Groundnuts
23.2,189,Dry,Loam,Millet
27.1,1130,Rainy,Loam,Maize
22.6,0,Dry,Clay,Millet
28.3,110,Dry,Loam,Millet
28.5,196,Dry,Loam,Millet
25.6,887,Rainy,Sand,Groundnuts
31.9,1319,Rainy,Loam,Cassava
24.3,169,Dry,Loam,Millet
28.3,49,Dry,Loam,Millet
27.0,794,Rainy,Loam,Maize
26.9,592,Rainy,Sand,Sorghum
21.2,282,Rainy,Sand,Millet
19.5,95,Dry,Loam,Millet
22.8,382,Dry,Clay,Sorghum
28.4,35,Dry,Loam,Millet
25.4,101,Dry,Loam,Millet
22.9,172,Dry,Loam,Millet
27.9,715,Rainy,Loam,Maize
29.2,515,Rainy,Sand,Sorghum
26.0,1449,Rainy,Loam,Cassava
