Date,Open,High,Low,Close,Volume
2020-01-01,3049.67,3085.78,3019.0,3048.47,2474235
2020-01-02,2986.17,3021.77,2951.01,2996.99,1959820
2020-01-03,3064.77,3105.58,3050.39,3084.16,2275779
2020-01-06,3152.3,3190.64,3127.59,3165.95,1719846
2020-01-07,2976.58,3011.18,2938.64,2961.25,2088129
2020-01-08,2976.59,3005.88,2959.13,2994.63,2446714
2020-01-09,3157.92,3171.31,3124.99,3150.76,1909210
2020-01-10,3076.74,3111.04,3060.31,3081.98,1660046
2020-01-13,2953.05,2985.13,2918.39,2953.19,1032766
2020-01-14,3054.26,3086.97,3024.61,3038.03,1555710
2020-01-15,2953.66,2970.89,2939.81,2959.44,1903022
2020-01-16,2953.43,2972.62,2911.78,2931.9,1274349
2020-01-17,3024.2,3064.73,3001.54,3019.61,1479806
2020-01-20,2808.67,2838.28,2786.77,2797.3,2203175
2020-01-21,2827.51,2864.32,2795.5,2841.04,2460235
2020-01-22,2943.77,2974.05,2902.28,2931.88,2458316
2020-01-23,2898.72,2929.01,2878.88,2919.28,2427197
2020-01-24,3031.42,3070.81,3000.81,3030.45,2076778
2020-01-27,2909.2,2934.04,2874.91,2887.4,1439358
2020-01-28,2858.77,2889.73,2821.84,2844.62,1848124
2020-01-29,3146.56,3171.94,3114.8,3155.73,1737744
2020-01-30,2977.42,3003.08,2951.09,2975.53,1020855
2020-01-31,3006.75,3033.66,2985.03,3003.86,1476963
2020-02-03,2857.53,2889.75,2826.66,2859.81,1811527
2020-02-04,2945.56,2970.77,2926.28,2953.55,1956228
2020-02-05,3011.09,3053.65,3010.31,3043.15,1311385
2020-02-06,2884.9,2905.95,2850.54,2892.73,1627407
2020-02-07,3037.57,3065.7,2998.53,3028.52,2143413
2020-02-10,2939.94,2965.54,2933.57,2936.29,1223068
2020-02-11,2970.83,3015.3,2950.93,2978.98,1356427
2020-02-12,2939.83,2971.79,2903.64,2940.32,1933476
2020-02-13,3185.23,3225.55,3134.65,3170.46,1123805
2020-02-14,2998.65,3013.79,2968.44,2981.55,1809359
2020-02-17,2894.23,2926.9,2871.51,2902.64,1115657
2020-02-18,3082.25,3121.15,3054.08,3087.13,1853062
2020-02-19,2877.92,2908.74,2834.17,2871.78,1104428
2020-02-20,3020.89,3061.54,2997.35,3021.86,1122035
2020-02-21,2804.03,2828.86,2782.02,2803.14,2494139
2020-02-24,2867.18,2911.27,2842.01,2867.4,2279356
2020-02-25,3019.69,3072.68,2999.22,3044.85,1912676
2020-02-26,3073.85,3100.22,3042.62,3081.77,1069518
2020-02-27,3017.14,3042.68,2970.89,2988.32,1176355
2020-02-28,2988.44,3032.97,2955.2,2984.79,1667565
2020-03-02,2969.89,3015.69,2942.41,2964.08,1120243
2020-03-03,2852.15,2876.92,2825.07,2844.49,2007378
2020-03-04,2928.02,2953.81,2913.65,2932.9,1938601
2020-03-05,2953.94,2981.12,2915.11,2933.62,1396308
2020-03-06,3105.71,3122.27,3076.49,3090.16,2101887
2020-03-09,3034.36,3055.18,3006.17,3020.63,1022692
2020-03-10,2823.7,2843.65,2761.76,2804.78,1679222
